service_date,day_type,bus,rail_boardings,total_rides
02/01/2010,W,1091041,648428,1739469
07/15/2006,A,603018,412144,1015162
08/26/2017,A,487453,446049,933502
12/25/2007,U,249699,111582,361281
07/08/2005,W,950222,591325,1541547
01/05/2006,W,766560,550285,1316845
11/14/2023,W,581009,424128,1005137
11/28/2017,W,847910,753208,1601118
05/05/2004,W,1019276,622837,1642113
06/16/2014,W,796802,729177,1525979
04/01/2017,A,517493,433603,951096
07/10/2013,W,961940,756010,1717950
01/19/2008,A,414819,231306,646125
08/07/2022,U,202042,193344,395386
02/19/2003,W,982943,605097,1588040
07/23/2017,U,380247,372309,752556
02/05/2013,W,1021386,733180,1754566
05/29/2002,W,980049,601576,1581625
04/17/2019,W,710771,699083,1409854
07/09/2014,W,855793,763164,1618957
09/20/2011,W,1094671,787667,1882338
01/07/2010,W,901941,616491,1518432
10/19/2017,W,876423,848003,1724426
12/28/2024,A,348599,222891,571490
01/06/2006,W,788239,551707,1339946
01/05/2005,W,851226,558698,1409924
05/31/2023,W,517111,389469,906580
10/15/2021,W,456194,338278,794472
06/06/2021,U,204309,148509,352818
05/10/2002,W,1047188,609528,1656716
07/24/2005,U,393689,255844,649533
05/03/2009,U,528055,291070,819125
04/23/2005,A,541013,297122,838135
09/25/2014,W,963447,824454,1787901
03/07/2006,W,1006095,626557,1632652
04/12/2023,W,516841,388965,905806
04/08/2014,W,913012,773383,1686395
11/02/2006,W,1012046,671054,1683100
03/08/2008,A,590236,294749,884985
09/26/2003,W,939175,643987,1583162
03/10/2017,W,816750,730837,1547587
12/17/2022,A,273704,221530,495234
03/18/2015,W,937056,771625,1708681
01/28/2004,W,887763,565269,1453032
08/26/2019,W,693566,678343,1371909
03/12/2016,A,542246,605182,1147428
03/17/2010,W,1043518,689789,1733307
04/24/2011,U,415484,274724,690208
12/02/2003,W,984587,605675,1590262
02/20/2018,W,786356,718493,1504849
06/30/2014,W,766381,697417,1463798
05/12/2003,W,956974,580553,1537527
03/12/2015,W,953310,790210,1743520
12/21/2007,W,1014168,563789,1577957
07/27/2017,W,770692,770016,1540708
12/26/2014,W,569843,422543,992386
04/15/2007,U,447385,250988,698373
04/16/2014,W,866995,757767,1624762
12/19/2010,U,404153,269162,673315
05/25/2020,U,170039,52921,222960
03/09/2003,U,335884,177874,513758
09/04/2001,W,1120482,625640,1746122
01/24/2013,W,958057,708729,1666786
10/03/2005,W,1137817,638813,1776630
02/05/2005,A,670035,312338,982373
10/12/2014,U,389901,549571,939472
02/08/2009,U,469249,245082,714331
08/21/2012,W,989240,725406,1714646
08/14/2021,A,294345,252710,547055
11/25/2015,W,735265,667707,1402972
03/10/2003,W,916661,573635,1490296
12/01/2022,W,494028,351763,845791
01/11/2002,W,1006535,591718,1598253
03/28/2018,W,719691,695373,1415064
07/20/2011,W,908375,711617,1619992
01/27/2003,W,922033,564295,1486328
10/19/2004,W,1021166,624056,1645222
03/26/2024,W,514563,359360,873923
02/05/2008,W,1058756,632513,1691269
12/30/2013,W,604796,537971,1142767
02/25/2024,U,280214,175446,455660
07/22/2021,W,390531,275892,666423
02/03/2017,W,782899,690415,1473314
07/09/2017,U,400539,402561,803100
04/29/2002,W,1001321,584792,1586113
12/05/2003,W,968576,606672,1575248
05/06/2011,W,1054724,732966,1787690
11/08/2019,W,718820,702518,1421338
03/28/2015,A,539031,429689,968720
01/21/2002,W,648994,392312,1041306
04/21/2023,W,505681,360742,866423
02/25/2018,U,347690,292093,639783
08/19/2015,W,801496,768950,1570446
03/14/2006,W,1000900,629929,1630829
03/26/2009,W,1053676,633781,1687457
12/03/2024,W,607733,405908,1013641
03/20/2019,W,782960,712714,1495674
05/06/2024,W,597540,379559,977099
08/27/2022,A,313588,249105,562693
01/04/2009,U,402180,213098,615278
02/28/2016,U,385121,323758,708879
06/11/2014,W,870560,761366,1631926
01/28/2022,W,310477,229809,540286
06/19/2006,W,880777,608854,1489631
01/23/2020,W,768601,717469,1486070
04/26/2015,U,419729,352658,772387
06/14/2004,W,947940,569479,1517419
07/12/2024,W,548479,381120,929599
12/29/2016,W,593626,532909,1126535
11/12/2015,W,879349,820988,1700337
04/22/2004,W,904333,597088,1501421
09/10/2023,U,297306,247808,545114
07/07/2002,U,445916,256321,702237
07/10/2003,W,893195,614469,1507664
04/06/2019,A,487323,414140,901463
10/05/2021,W,469691,317319,787010
05/27/2009,W,1026962,648266,1675228
03/04/2005,W,1027003,589864,1616867
05/16/2020,A,204433,60144,264577
03/28/2016,W,842760,731858,1574618
06/22/2005,W,890705,607690,1498395
02/18/2005,W,983784,582874,1566658
05/24/2019,W,749827,681443,1431270
05/07/2019,W,805130,738981,1544111
04/23/2019,W,806358,747351,1553709
09/27/2019,W,734962,699996,1434958
02/27/2017,W,837214,720932,1558146
05/29/2001,W,1003029,595375,1598404
10/28/2006,A,622775,364159,986934
11/03/2021,W,481029,327770,808799
01/24/2020,W,745526,677320,1422846
01/12/2022,W,364308,214250,578558
12/26/2019,W,517911,402948,920859
04/01/2006,A,620450,348344,968794
08/20/2016,A,480928,445798,926726
11/29/2004,W,962243,588392,1550635
07/29/2006,A,593188,423092,1016280
05/20/2004,W,971148,604798,1575946
06/03/2007,U,461358,263646,725004
09/11/2024,W,655564,452664,1108228
06/27/2016,W,753543,723488,1477031
01/18/2008,W,959859,585432,1545291
11/06/2007,W,1063193,655389,1718582
08/18/2016,W,740297,743427,1483724
04/28/2003,W,962103,582145,1544248
05/07/2014,W,967197,773634,1740831
11/11/2016,W,715260,721083,1436343
12/26/2012,W,616049,428605,1044654
07/22/2022,W,426586,323821,750407
03/23/2022,W,411053,285528,696581
01/28/2013,W,1000004,718545,1718549
04/12/2016,W,886265,777658,1663923
03/05/2006,U,363219,208605,571824
03/24/2021,W,320929,168422,489351
05/13/2012,U,455430,321345,776775
02/08/2013,W,994675,723430,1718105
05/02/2014,W,981085,794448,1775533
03/17/2018,A,471682,607823,1079505
09/18/2012,W,1009476,774593,1784069
01/21/2005,W,968823,591645,1560468
04/20/2020,W,225938,79017,304955
11/11/2006,A,591773,376391,968164
04/17/2022,U,183837,139738,323575
01/19/2006,W,983087,634043,1617130
02/16/2021,W,206197,114830,321027
12/31/2010,W,609114,391713,1000827
10/08/2001,W,802729,531294,1334023
06/19/2010,A,673052,472662,1145714
02/16/2003,U,365939,188276,554215
05/08/2015,W,916218,780602,1696820
05/24/2013,W,1010765,676692,1687457
07/16/2002,W,946077,621832,1567909
07/19/2008,A,675968,342834,1018802
12/22/2016,W,747188,635174,1382362
12/08/2019,U,347917,286023,633940
01/27/2008,U,413581,213177,626758
10/05/2014,U,420636,353400,774036
08/11/2006,W,909305,638056,1547361
09/09/2015,W,966510,821823,1788333
11/04/2020,W,306904,151147,458051
07/26/2018,W,758033,781151,1539184
02/02/2023,W,488230,339244,827474
12/30/2010,W,754297,524961,1279258
05/27/2010,W,995700,697901,1693601
08/09/2010,W,902342,647949,1550291
10/28/2024,W,611041,389359,1000400
11/14/2007,W,1073985,652294,1726279
12/17/2012,W,953565,683683,1637248
12/26/2024,W,366721,225335,592056
08/01/2016,W,805970,779020,1584990
09/10/2006,U,379770,245048,624818
12/21/2019,A,454167,356991,811158
06/22/2019,A,485555,468890,954445
01/28/2003,W,952120,598146,1550266
10/08/2016,A,537610,546072,1083682
04/18/2004,U,423705,227626,651331
01/18/2011,W,991055,678327,1669382
12/10/2006,U,406068,237226,643294
11/19/2022,A,253918,231052,484970
01/25/2022,W,352155,234112,586267
03/07/2014,W,958096,769821,1727917
11/20/2006,W,1022880,638117,1660997
08/12/2018,U,372421,371962,744383
04/14/2021,W,320689,173838,494527
09/30/2020,W,320186,169305,489491
08/29/2017,W,783337,763274,1546611
07/19/2006,W,911699,687896,1599595
12/20/2024,W,509530,326711,836241
08/09/2023,W,501770,394563,896333
12/12/2013,W,864926,722404,1587330
09/20/2009,U,480835,292572,773407
04/16/2006,U,324770,181980,506750
02/24/2024,A,345189,225233,570422
05/07/2001,W,1007381,598338,1605719
09/23/2021,W,464140,327671,791811
04/06/2024,A,397658,286304,683962
10/15/2010,W,1067602,753653,1821255
08/13/2003,W,875224,614427,1489651
03/04/2024,W,556051,334107,890158
01/09/2004,W,929117,560519,1489636
09/02/2014,W,952266,773307,1725573
12/11/2018,W,817284,731059,1548343
01/09/2016,A,469539,391597,861136
08/29/2001,W,901782,625324,1527106
05/28/2016,A,500775,532343,1033118
11/23/2010,W,1006493,698730,1705223
01/13/2017,W,771359,698254,1469613
06/12/2013,W,969474,718831,1688305
01/08/2003,W,1011812,592758,1604570
05/21/2007,W,1039954,614276,1654230
04/09/2021,W,330542,186985,517527
10/10/2011,W,857528,669173,1526701
11/24/2019,U,358133,301849,659982
01/28/2012,A,621329,419586,1040915
09/24/2016,A,539037,529457,1068494
01/25/2020,A,408051,320905,728956
05/27/2019,U,298987,256757,555744
12/15/2004,W,974391,584961,1559352
09/11/2007,W,1108582,679973,1788555
11/06/2023,W,568672,375471,944143
12/26/2009,A,464351,237093,701444
04/14/2022,W,408379,316347,724726
10/17/2004,U,444240,243898,688138
09/21/2006,W,1044501,696162,1740663
02/21/2017,W,848951,741773,1590724
04/28/2015,W,941909,789018,1730927
03/11/2021,W,318121,165057,483178
07/14/2002,U,433166,239865,673031
06/09/2023,W,476837,381247,858084
06/27/2021,U,219887,176898,396785
11/17/2017,W,836442,779012,1615454
01/06/2016,W,853904,733167,1587071
09/04/2010,A,671418,475332,1146750
12/08/2024,U,310160,216292,526452
04/15/2019,W,694149,679904,1374053
01/14/2014,W,923401,761893,1685294
09/05/2016,U,399846,347259,747105
10/16/2015,W,936818,855252,1792070
07/10/2004,A,593638,305695,899333
09/06/2015,U,452841,452445,905286
02/10/2013,U,392914,278417,671331
12/16/2020,W,269375,138422,407797
01/16/2019,W,800537,728048,1528585
08/05/2011,W,968013,822093,1790106
07/04/2008,U,606974,421170,1028144
01/07/2015,W,508815,509075,1017890
01/14/2002,W,985931,593642,1579573
06/11/2018,W,781557,724255,1505812
01/24/2014,W,763075,680260,1443335
06/18/2016,A,526402,520856,1047258
09/11/2004,A,637407,355835,993242
12/11/2017,W,807879,706163,1514042
09/27/2023,W,583749,427267,1011016
10/02/2017,W,877992,767540,1645532
05/18/2021,W,338267,195305,533572
05/09/2022,W,456324,296458,752782
06/10/2021,W,374697,246542,621239
01/28/2019,W,668192,678810,1347002
04/07/2019,U,331229,276992,608221
03/03/2021,W,333410,163566,496976
04/17/2011,U,452131,306186,758317
02/26/2003,W,939161,588630,1527791
04/12/2009,U,423274,228889,652163
06/19/2018,W,779092,768531,1547623
01/05/2010,W,970860,589044,1559904
05/04/2016,W,879217,767760,1646977
05/24/2002,W,995434,576461,1571895
04/04/2015,A,582015,427101,1009116
03/22/2003,A,577660,292329,869989
04/18/2007,W,1030970,617779,1648749
05/22/2017,W,817334,744257,1561591
03/10/2021,W,312074,161736,473810
08/04/2004,W,867932,556467,1424399
01/24/2006,W,972893,634204,1607097
09/06/2022,W,523472,365689,889161
02/11/2016,W,866884,752703,1619587
11/15/2016,W,881225,797235,1678460
11/26/2008,W,1032378,599978,1632356
09/01/2004,W,973679,597386,1571065
05/30/2007,W,1055384,637763,1693147
04/19/2006,W,984239,652275,1636514
07/25/2001,W,874776,612547,1487323
08/12/2010,W,908352,666665,1575017
06/11/2005,A,647313,413642,1060955
12/28/2016,W,611176,537443,1148619
06/17/2023,A,372865,295909,668774
08/31/2003,U,396860,242605,639465
09/21/2005,W,1085278,685975,1771253
05/09/2003,W,992211,616706,1608917
05/07/2007,W,1059535,610376,1669911
02/28/2019,W,783920,714700,1498620
08/13/2012,W,862334,675894,1538228
10/27/2023,W,503840,373004,876844
12/04/2007,W,1082140,625524,1707664
01/09/2017,W,781139,692776,1473915
06/19/2011,U,479157,352290,831447
08/29/2023,W,585643,418817,1004460
07/15/2007,U,489228,289728,778956
11/29/2010,W,974393,658026,1632419
04/29/2013,W,1009306,717625,1726931
09/11/2017,W,861907,767744,1629651
12/11/2008,W,1059298,653239,1712537
06/05/2005,U,448366,236960,685326
02/26/2018,W,825842,718649,1544491
03/03/2006,W,1021045,620890,1641935
08/28/2008,W,1022254,678635,1700889
07/25/2009,A,693104,467927,1161031
10/07/2007,U,450253,394647,844900
04/17/2015,W,936814,818272,1755086
08/09/2015,U,414942,384961,799903
08/15/2007,W,906121,603458,1509579
06/07/2006,W,1012230,666040,1678270
01/17/2020,W,737073,687789,1424862
07/18/2012,W,947611,737720,1685331
03/14/2021,U,163299,97387,260686
08/11/2022,W,444736,337937,782673
07/19/2016,W,795162,797424,1592586
03/05/2007,W,861145,558483,1419628
10/30/2013,W,967902,791183,1759085
01/06/2010,W,980962,598511,1579473
06/27/2014,W,879565,793688,1673253
05/01/2016,U,376131,334275,710406
06/03/2014,W,936306,812230,1748536
06/01/2003,U,422827,245291,668118
04/10/2007,W,1048978,629888,1678866
05/14/2014,W,916259,749500,1665759
07/19/2003,A,619480,324535,944015
02/28/2014,W,936301,745915,1682216
03/02/2004,W,992418,597880,1590298
07/26/2012,W,945792,720070,1665862
11/30/2002,A,525319,255100,780419
11/24/2005,U,265869,149351,415220
09/15/2009,W,1115027,729171,1844198
03/09/2019,A,409779,326686,736465
08/12/2005,W,929636,606537,1536173
09/08/2011,W,1058730,770455,1829185
09/28/2020,W,299874,158980,458854
07/03/2007,W,1048504,848262,1896766
06/05/2014,W,910818,797899,1708717
03/01/2015,U,383971,293964,677935
10/27/2003,W,990268,620687,1610955
09/19/2020,A,240028,135343,375371
01/13/2024,A,286037,183824,469861
10/25/2001,W,947047,618401,1565448
08/13/2021,W,396567,277082,673649
01/28/2006,A,568287,314425,882712
10/19/2023,W,579587,433975,1013562
10/18/2019,W,762811,778466,1541277
02/06/2015,W,959648,768091,1727739
02/02/2015,W,632367,563770,1196137
12/12/2004,U,388481,205786,594267
05/11/2009,W,1019002,620480,1639482
02/24/2015,W,901872,728674,1630546
05/02/2001,W,1034088,627894,1661982
12/24/2011,A,509237,262788,772025
08/22/2002,W,829797,533893,1363690
10/23/2012,W,1043067,784378,1827445
02/01/2007,W,1007882,616420,1624302
04/21/2017,W,819393,753932,1573325
05/29/2006,U,381213,245203,626416
02/01/2008,W,911151,593534,1504685
02/18/2007,U,394698,226617,621315
07/15/2008,W,1088616,655456,1744072
10/18/2009,U,494901,296936,791837
02/22/2024,W,587867,396466,984333
06/10/2011,W,991111,699233,1690344
03/13/2002,W,1022145,615718,1637863
07/23/2009,W,959920,673917,1633837
06/30/2023,W,473836,378120,851956
11/07/2021,U,211114,177817,388931
02/21/2016,U,378769,311190,689959
08/27/2014,W,874420,768933,1643353
10/22/2010,W,987323,727707,1715030
12/17/2013,W,883958,716650,1600608
03/20/2001,W,1034388,618340,1652728
03/04/2001,U,385978,178292,564270
12/17/2023,U,271335,184885,456220
01/04/2022,W,343163,202963,546126
11/16/2019,A,467987,398924,866911
12/23/2007,U,347895,184560,532455
07/20/2010,W,938739,692212,1630951
10/08/2003,W,1026066,693316,1719382
11/24/2013,U,362949,311868,674817
10/31/2009,A,698324,406844,1105168
03/26/2006,U,433649,234862,668511
10/06/2007,A,693470,430713,1124183
02/03/2016,W,925655,772821,1698476
10/14/2017,A,376288,368266,744554
09/18/2013,W,1023243,783471,1806714
10/12/2024,A,427732,369877,797609
02/23/2014,U,392042,315317,707359
10/18/2006,W,1035671,687285,1722956
02/26/2005,A,603707,304026,907733
05/01/2004,A,577088,282452,859540
07/20/2004,W,896643,606660,1503303
05/20/2009,W,1085546,664197,1749743
09/16/2022,W,508567,431965,940532
10/20/2013,U,417109,367355,784464
03/10/2007,A,645222,343183,988405
03/04/2011,W,1019568,681216,1700784
07/28/2010,W,908070,667607,1575677
05/07/2006,U,438858,258592,697450
03/22/2010,W,981316,617250,1598566
06/29/2018,W,748648,755938,1504586
04/10/2010,A,663179,440432,1103611
12/16/2006,A,632218,356756,988974
01/30/2004,W,756185,500887,1257072
03/16/2005,W,1011281,607649,1618930
03/24/2002,U,370997,190845,561842
06/28/2019,W,742317,717591,1459908
09/13/2023,W,593103,431950,1025053
06/22/2015,W,759346,731448,1490794
06/08/2002,A,649574,323142,972716
04/15/2018,U,300857,258277,559134
01/30/2021,A,192267,102119,294386
01/11/2003,A,506478,250051,756529
07/18/2016,W,774239,768719,1542958
04/10/2005,U,439237,244746,683983
11/23/2008,U,477070,243556,720626
04/23/2007,W,1021947,617017,1638964
03/10/2013,U,417260,285624,702884
11/14/2014,W,911150,794103,1705253
01/04/2011,W,946232,621057,1567289
11/25/2006,A,549875,317650,867525
11/22/2019,W,817445,782838,1600283
08/01/2015,A,574270,587633,1161903
06/05/2021,A,278036,199123,477159
08/14/2018,W,722447,739143,1461590
02/15/2011,W,1041367,702586,1743953
03/25/2008,W,1036465,596853,1633318
01/01/2015,U,300426,287754,588180
07/05/2004,U,420521,229820,650341
05/26/2003,U,380796,224023,604819
10/31/2020,A,224885,120080,344965
01/09/2019,W,747949,685444,1433393
07/17/2017,W,754669,741094,1495763
11/09/2015,W,923927,811177,1735104
01/22/2014,W,872967,737074,1610041
11/13/2011,U,463513,338816,802329
11/05/2002,W,994530,613203,1607733
01/31/2021,U,119669,75697,195366
01/26/2018,W,806770,722671,1529441
01/20/2014,W,599662,502485,1102147
09/09/2023,A,385592,323033,708625
02/24/2017,W,820536,723532,1544068
01/14/2005,W,894841,552090,1446931
04/06/2023,W,459977,353018,812995
07/12/2019,W,738700,777202,1515902
10/01/2016,A,511504,445272,956776
06/27/2007,W,905210,627568,1532778
06/03/2012,U,512841,354121,866962
05/11/2006,W,926462,621331,1547793
07/14/2023,W,476443,373807,850250
09/27/2002,W,1058970,651373,1710343
09/01/2002,U,477226,257229,734455
03/07/2022,W,399383,261592,660975
01/17/2008,W,998608,619823,1618431
09/18/2004,A,636532,340756,977288
03/15/2001,W,960667,596612,1557279
02/12/2009,W,943891,620278,1564169
07/16/2024,W,565584,408295,973879
09/16/2020,W,323500,171467,494967
05/27/2015,W,921204,783749,1704953
10/17/2016,W,890736,791317,1682053
10/20/2010,W,1061125,733950,1795075
07/12/2020,U,174761,90382,265143
11/02/2016,W,866812,842885,1709697
10/07/2016,W,888731,877814,1766545
08/18/2009,W,948964,636143,1585107
03/11/2004,W,927076,589420,1516496
11/15/2012,W,1058314,786677,1844991
03/07/2008,W,1031200,604635,1635835
05/24/2015,U,401488,366008,767496
10/16/2013,W,1017742,779074,1796816
03/29/2020,U,111188,57736,168924
11/13/2024,W,633647,434362,1068009
05/13/2005,W,980674,597196,1577870
10/07/2023,A,386990,334134,721124
10/03/2019,W,885919,781701,1667620
09/02/2017,A,512150,481961,994111
06/20/2001,W,939471,612707,1552178
02/24/2011,W,1030542,708692,1739234
02/12/2015,W,883395,729249,1612644
11/12/2004,W,924772,606762,1531534
09/02/2016,W,838151,777158,1615309
02/05/2024,W,558625,339256,897881
04/02/2002,W,970537,585155,1555692
07/04/2013,U,525424,407174,932598
10/12/2021,W,469702,337547,807249
10/17/2013,W,1025838,789200,1815038
07/16/2003,W,915630,597927,1513557
10/14/2011,W,1058024,783903,1841927
12/21/2005,W,918067,553734,1471801
06/10/2022,W,450488,327910,778398
10/02/2002,W,1059836,648879,1708715
11/25/2010,U,312756,195258,508014
08/04/2003,W,920408,585024,1505432
10/17/2022,W,470688,332889,803577
09/08/2020,W,288854,151558,440412
07/12/2010,W,916793,645066,1561859
08/12/2015,W,817244,772367,1589611
04/27/2019,A,369056,319488,688544
06/04/2017,U,400326,384010,784336
11/25/2004,U,287787,147567,435354
09/14/2014,U,431379,386903,818282
06/03/2016,W,892290,824890,1717180
06/05/2015,W,919157,784462,1703619
07/08/2010,W,913888,665000,1578888
05/12/2022,W,475308,345676,820984
05/30/2015,A,481814,428464,910278
08/15/2005,W,892308,574348,1466656
07/18/2021,U,226558,191007,417565
12/26/2002,W,661076,372317,1033393
05/21/2020,W,244336,85164,329500
12/07/2005,W,922076,591500,1513576
04/12/2014,A,574622,524370,1098992
07/04/2023,U,281675,195858,477533
09/14/2022,W,531662,395177,926839
05/15/2019,W,810290,724761,1535051
02/05/2015,W,932148,780378,1712526
10/07/2020,W,333595,171757,505352
08/03/2009,W,945629,612506,1558135
02/16/2006,W,930188,613347,1543535
06/25/2021,W,343853,251904,595757
11/11/2010,W,882944,660145,1543089
01/24/2011,W,972155,654573,1626728
09/07/2009,U,463198,299374,762572
11/01/2018,W,866316,798312,1664628
03/13/2005,U,393195,205254,598449
05/20/2022,W,458078,321127,779205
05/02/2006,W,1045233,664946,1710179
10/11/2003,A,628499,366667,995166
07/19/2012,W,929760,737674,1667434
11/08/2018,W,841232,797333,1638565
09/28/2009,W,1025351,659478,1684829
02/19/2001,W,782447,457891,1240338
01/31/2016,U,358361,293056,651417
04/11/2003,W,912918,600667,1513585
02/26/2014,W,884516,728685,1613201
10/28/2012,U,454048,341936,795984
06/17/2004,W,938259,585309,1523568
10/08/2007,W,857090,563619,1420709
06/13/2020,A,206386,81727,288113
03/29/2018,W,692129,686014,1378143
08/02/2014,A,592660,571486,1164146
05/05/2022,W,464544,329241,793785
10/02/2001,W,1078342,658020,1736362
10/17/2021,U,219929,196386,416315
11/02/2021,W,463908,319122,783030
01/08/2016,W,841494,732495,1573989
06/08/2008,U,494209,281814,776023
01/03/2006,W,772171,540341,1312512
01/19/2002,A,556405,273407,829812
03/29/2024,W,480044,313507,793551
03/15/2012,W,1061219,763525,1824744
07/21/2006,W,931578,676491,1608069
04/25/2005,W,1003896,610619,1614515
04/27/2017,W,807318,748983,1556301
09/15/2012,A,707625,533074,1240699
07/05/2007,W,933153,655871,1589024
09/09/2021,W,471953,326271,798224
06/07/2001,W,1004748,646177,1650925
03/17/2017,W,804320,732007,1536327
07/07/2010,W,911994,656096,1568090
07/16/2017,U,371692,374578,746270
09/29/2015,W,914286,822855,1737141
03/23/2009,W,1007657,598236,1605893
07/20/2007,W,959207,655992,1615199
12/08/2003,W,975766,586022,1561788
12/04/2018,W,835143,745696,1580839
08/17/2001,W,929083,598538,1527621
07/14/2019,U,386786,362994,749780
11/17/2016,W,873693,811240,1684933
02/11/2008,W,818840,559672,1378512
08/28/2004,A,548649,297684,846333
07/27/2004,W,885055,590244,1475299
09/16/2017,A,517447,521275,1038722
02/03/2001,A,611703,263612,875315
07/24/2011,U,440442,346005,786447
09/10/2001,W,1075781,661092,1736873
09/16/2001,U,417392,191270,608662
03/14/2010,U,428683,273849,702532
02/02/2005,W,1046742,599354,1646096
08/07/2020,W,326107,164886,490993
12/07/2014,U,397656,334688,732344
06/17/2011,W,1038570,787772,1826342
12/25/2023,U,145433,80206,225639
04/17/2004,A,596237,331377,927614
08/21/2023,W,551302,343866,895168
12/24/2008,W,626374,339616,965990
12/11/2019,W,753922,692730,1446652
03/08/2017,W,858498,751336,1609834
05/17/2001,W,1006118,628882,1635000
08/20/2023,U,296344,239159,535503
09/20/2008,A,791707,447679,1239386
08/24/2014,U,432777,387171,819948
01/17/2024,W,466850,322741,789591
05/31/2018,W,819988,753062,1573050
04/19/2012,W,989282,743350,1732632
06/28/2015,U,439944,577866,1017810
02/16/2001,W,1033040,601418,1634458
10/23/2003,W,1008328,644198,1652526
08/15/2002,W,920323,599375,1519698
08/21/2009,W,946374,633411,1579785
03/31/2017,W,839312,737168,1576480
07/31/2009,W,997830,674810,1672640
04/26/2021,W,337128,176283,513411
06/27/2001,W,944274,634994,1579268
05/13/2001,U,422270,200996,623266
04/08/2001,U,437035,200720,637755
02/13/2019,W,795205,728764,1523969
08/01/2013,W,950707,753887,1704594
03/06/2007,W,1004928,611416,1616344
04/13/2002,A,631465,308737,940202
03/03/2024,U,298601,184885,483486
11/05/2014,W,990008,827900,1817908
04/29/2006,A,574038,343244,917282
03/05/2008,W,1059027,620660,1679687
05/30/2017,W,802596,722529,1525125
12/20/2012,W,876460,660268,1536728
03/06/2021,A,228890,124851,353741
05/16/2004,U,418466,214886,633352
07/21/2011,W,901635,693073,1594708
02/29/2004,U,413029,208258,621287
01/27/2016,W,882832,768241,1651073
11/06/2012,W,1050908,768986,1819894
02/04/2012,A,661534,418503,1080037
09/02/2015,W,882052,792561,1674613
09/15/2005,W,1070331,702096,1772427
09/05/2009,A,701349,428069,1129418
08/16/2006,W,878842,620892,1499734
04/20/2014,U,399289,333380,732669
03/18/2010,W,1036643,690207,1726850
10/17/2008,W,1162723,709679,1872402
05/04/2004,W,1025965,615968,1641933
01/11/2012,W,1036505,709539,1746044
05/14/2023,U,233363,156364,389727
08/04/2012,A,639837,540564,1180401
09/03/2008,W,1166955,710304,1877259
05/22/2003,W,967683,590893,1558576
09/23/2003,W,1023379,655433,1678812
01/12/2002,A,565955,266826,832781
05/23/2024,W,609570,457738,1067308
09/10/2008,W,1167063,719905,1886968
08/07/2005,U,457639,261349,718988
10/01/2019,W,905477,772082,1677559
12/12/2014,W,912339,773048,1685387
10/23/2005,U,421490,277349,698839
07/29/2007,U,457951,272684,730635
03/08/2024,W,488443,314783,803226
05/22/2009,W,1052067,637603,1689670
11/21/2004,U,427753,229287,657040
01/10/2022,W,273785,175964,449749
09/04/2019,W,861286,762868,1624154
12/21/2001,W,994499,569456,1563955
11/23/2019,A,468337,443394,911731
09/07/2008,U,529779,273883,803662
05/17/2013,W,966483,757439,1723922
05/29/2003,W,961715,595331,1557046
03/28/2012,W,1029545,735639,1765184
08/19/2018,U,380140,357318,737458
09/12/2008,W,1120112,700943,1821055
02/03/2012,W,1014951,714336,1729287
05/22/2006,W,996607,629775,1626382
07/16/2006,U,418278,308173,726451
08/10/2018,W,728844,757214,1486058
10/17/2019,W,787285,790202,1577487
08/10/2019,A,490001,428555,918556
03/20/2020,W,303882,152797,456679
06/27/2010,U,439815,441824,881639
07/25/2015,A,573827,539665,1113492
05/06/2020,W,248434,82526,330960
08/21/2008,W,1006682,679508,1686190
03/12/2001,W,979411,588857,1568268
06/12/2024,W,576142,423834,999976
06/30/2011,W,947943,753565,1701508
10/08/2023,U,253021,403385,656406
06/14/2019,W,786956,769162,1556118
06/14/2007,W,944081,653008,1597089
04/28/2023,W,503332,340242,843574
08/15/2023,W,500013,382517,882530
05/16/2015,A,561092,493377,1054469
01/21/2021,W,287899,144085,431984
08/30/2004,W,884633,567769,1452402
05/22/2014,W,908285,788319,1696604
06/13/2007,W,955467,654913,1610380
02/11/2018,U,294675,260148,554823
07/24/2023,W,474506,338496,813002
11/22/2016,W,837828,756704,1594532
01/06/2023,W,371923,258636,630559
06/01/2012,W,1034827,750848,1785675
11/03/2015,W,987382,830460,1817842
